jd_id,title,role_level,exp_level_raw,min_exp_years,exp_range_raw,skills_raw,required_skills,keywords_raw,keywords,responsibilities,raw_text,source_type,required_skill_count
NET-E-011,.NET Developer,unknown,Experienced,3.0,3+,C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure,"[""c#"", "".net"", ""asp.net mvc"", ""sql server"", ""entity framework"", ""rest apis"", ""docker"", ""azure""]",.NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker,"["".net"", ""c#"", ""asp.net mvc"", ""microservices"", ""azure"", ""entity framework"", ""rest apis"", ""docker""]",Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,.NET Developer C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,jd,8
NET-E-012,.NET Developer,unknown,Experienced,4.0,4+,C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps,"[""c#"", ""asp.net core"", ""sql server"", ""entity framework"", ""design patterns"", ""solid principles"", ""azure devops""]",.NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework,"["".net"", ""c#"", ""asp.net mvc"", ""solid"", ""azure devops"", ""entity framework""]",Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,.NET Developer C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,jd,7
NET-E-013,.NET Developer,unknown,Experienced,5.0,5+,C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure,"[""c#"", ""f#"", "".net"", ""asp.net mvc"", ""microservices"", ""docker"", ""kubernetes"", ""azure""]",.NET Core; C#; Microservices; Docker; Kubernetes; Azure,"["".net"", ""c#"", ""microservices"", ""docker"", ""kubernetes"", ""azure""]",Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,.NET Developer C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,jd,8
NET-E-014,.NET Developer,unknown,Experienced,3.0,3+,C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework,"[""c#"", ""asp.net core"", ""webapi"", ""signalr"", ""sql server"", ""nosql"", ""entity framework""]",.NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework,"["".net"", ""c#"", ""asp.net mvc"", ""webapi"", ""signalr"", ""entity framework""]",Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,.NET Developer C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,jd,7
NET-E-015,.NET Developer,unknown,Experienced,5.0,5+,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,"[""c#"", "".net"", ""asp.net mvc"", ""blazor"", ""angular"", ""sql server"", ""dapper""]",.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,"["".net"", ""c#"", ""asp.net mvc"", ""blazor"", ""angular"", ""sql server"", ""dapper""]",Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Developer C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,jd,7
NET-E-016,.NET Developer,unknown,Experienced,4.0,4+,C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit,"[""c#"", "".net"", ""asp.net mvc"", ""rest apis"", ""docker"", ""azure devops"", ""testing with nunit""]",.NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit,"["".net"", ""c#"", ""asp.net mvc"", ""rest apis"", ""docker"", ""azure devops"", ""nunit""]",Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,.NET Developer C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,jd,7
NET-E-017,.NET Developer,unknown,Experienced,3.0,3+,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,"[""c#"", ""asp.net core"", ""webapi"", ""grpc"", ""sql server"", ""azure""]",.NET Core; C#; WebAPI; gRPC; SQL Server; Azure,"["".net"", ""c#"", ""webapi"", ""grpc"", ""sql server"", ""azure""]",Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Developer C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,jd,6
NET-E-018,.NET Developer,unknown,Experienced,5.0,5+,C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles,"[""c#"", ""asp.net core"", ""microservices"", ""kubernetes"", ""entity framework"", ""azure"", ""solid principles""]",.NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID,"["".net"", ""c#"", ""microservices"", ""kubernetes"", ""entity framework"", ""azure"", ""solid""]",Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,.NET Developer C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,jd,7
NET-E-019,.NET Developer,unknown,Experienced,4.0,4+,C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure,"[""c#"", "".net"", ""asp.net mvc"", ""testing with xunit"", ""moq"", ""azure""]",.NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure,"["".net"", ""c#"", ""asp.net mvc"", ""xunit"", ""moq"", ""azure""]",Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,.NET Developer C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,jd,6
NET-E-020,.NET Developer,unknown,Experienced,5.0,5+,C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,"[""c#"", "".net"", ""asp.net mvc"", ""ci/cd"", ""azure devops"", ""docker"", ""kubernetes"", ""rest apis""]",.NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,"["".net"", ""c#"", ""asp.net mvc"", ""ci/cd"", ""azure devops"", ""docker"", ""kubernetes"", ""rest apis""]",Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,.NET Developer C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,jd,8
AI001,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,"[""python"", ""java"", ""c++"", ""supervised/unsupervised learning"", ""regression"", ""classification"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb"", ""nosql""]",AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""deep learning"", ""tensorflow"", ""pytorch""]",Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,jd,19
AI002,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""classification"", ""regression"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""pytorch""]",Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,jd,17
AI003,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""supervised/unsupervised learning"", ""regression"", ""classification"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""deep learning"", ""tensorflow"", ""pytorch""]",Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,jd,18
AI004,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""classification"", ""regression"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""pytorch""]",Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,jd,17
AI005,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""supervised/unsupervised learning"", ""regression"", ""classification"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""deep learning""]",Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,jd,18
AI006,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""classification"", ""regression"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""pytorch""]",Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,jd,17
AI007,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""supervised/unsupervised learning"", ""regression"", ""classification"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""deep learning""]",Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,jd,18
AI008,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""classification"", ""regression"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""pytorch""]","Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects","AI Engineer - Fresher Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",jd,17
AI009,AI Engineer - Fresher,junior,Entry-Level,0.0,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"[""python"", ""java"", ""c++"", ""supervised/unsupervised learning"", ""regression"", ""classification"", ""clustering"", ""tensorflow"", ""pytorch"", ""keras"", ""scikit-learn"", ""neural networks"", ""opencv"", ""nltk"", ""pandas"", ""numpy"", ""sql"", ""mongodb""]",AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,"[""artificial intelligence"", ""machine learning"", ""fresher"", ""entry-level"", ""python"", ""tensorflow"", ""deep learning""]",Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI Engineer - Fresher Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,jd,18
AI010,AI Engineer - Experienced,mid,Mid-Senior Level,3.0,3–6 years,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,"[""python"", ""java"", ""c++"", ""deep learning"", ""reinforcement learning"", ""natural language processing"", ""computer vision"", ""generative ai"", ""llms"", ""tensorflow"", ""pytorch"", ""scikit-learn"", ""hugging face transformers"", ""onnx"", ""aws"", ""gcp"", ""azure"", ""ci/cd"", ""mlops"", ""apache spark"", ""hadoop"", ""docker"", ""kubernetes"", ""model monitoring"", ""shap"", ""lime""]",AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch,"[""artificial intelligence"", ""machine learning"", ""mid-senior level"", ""deep learning"", ""natural language processing"", ""cloud"", ""mlops"", ""tensorflow"", ""pytorch""]",Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,AI Engineer - Experienced Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,jd,26
